MeterPoint Code,Serial Number,Plant Code,Date/Time,Data Type,Data Value,Units,Status
214612534,214612534,ED021401344,07-09-2015 07:00,Import varh Total,0,kvarh,
214612534,214612534,ED021401344,07-09-2015 07:15,Import varh Total,0,kvarh,
214612534,214612534,ED021401344,07-09-2015 07:30,Import varh Total,0,kvarh,
214612534,214612534,ED021401344,07-09-2015 07:45,Import varh Total,0,kvarh,
214612534,214612534,ED021401344,07-09-2015 08:00,Import varh Total,0,kvarh,
214612534,214612534,ED021401344,07-09-2015 08:15,Import varh Total,0,kvarh,
214612534,214612534,ED021401344,07-09-2015 08:30,Import varh Total,0,kvarh,
214612534,214612534,ED021401344,06-09-2015 00:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 01:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 01:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 01:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 01:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 02:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 02:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 02:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 02:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 03:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 03:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 03:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 03:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 04:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 04:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 04:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 04:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 05:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 05:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 05:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 05:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 06:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 06:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 06:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 06:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 07:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 07:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 07:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 07:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 08:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 08:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 08:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 08:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 09:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 09:15,Export Wh Total,0,kwh,
